regime,window_set,feature_set,model,config_name,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,3,46,76634,18910,20,5,0.7576414595452142,0.24165223843680436,0.3917401764234162,0.8132309941520468,0.29891387486614657,0.6350190139570837,0.22277765201032543,13350,3066,1517,977
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,4,46,76581,18963,20,5,0.537467700258398,0.09423616424381535,0.3070211882010802,0.570971249093984,0.14420919114059907,0.44118853633494076,0.10586083710967793,9453,7103,1668,739
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,5,46,71273,24271,19,6,0.6600881710683532,0.21081409477521262,0.497134670487106,0.6874548866753284,0.2960750853242321,0.6154617143249514,0.202554741109191,14286,6495,1755,1735
all_records_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,1,46,79713,15831,21,4,0.8860463647274335,0.11428571428571428,0.006964596633778294,0.9934079954635667,0.01312910284463895,0.5086752621062195,0.11439906902538498,14015,93,1711,12
all_records_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,2,46,77975,17569,20,5,0.7635608173487393,0.3519736842105263,0.026328740157480313,0.9854128100703443,0.04899267399267399,0.6127882061761902,0.3036191896412578,13308,197,3957,107
all_records_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,3,46,76634,18910,20,5,0.866525647805394,0.2972972972972973,0.008821170809943865,0.996832358674464,0.017133956386292833,0.6149713259190478,0.20047766899469932,16364,52,2472,22
all_records_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,4,46,76581,18963,20,5,0.8632600326952486,0.05714285714285714,0.004985459077690071,0.9880405895143755,0.009170806266717615,0.4580462045296933,0.10967860021826199,16358,198,2395,12
all_records_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,5,46,71273,24271,19,6,0.848213917844341,0.17880794701986755,0.015472779369627506,0.9880660218468793,0.028481012658227847,0.610169844644015,0.18996802582532396,20533,248,3436,54
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,1,57,79713,15831,21,4,0.7089886930705578,0.11505605979711693,0.2501450957632037,0.7650269350722994,0.15761565185591517,0.5223877990548329,0.11945478688140852,10793,3315,1292,431
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,2,57,77975,17569,20,5,0.4760657977118789,0.27217938491535937,0.7556594488188977,0.39192891521658646,0.4002085098064768,0.6534233912345093,0.38630588874019023,5293,8212,993,3071
