regime,experiment,model,config_name,n_features,accuracy_mean,accuracy_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,tn_mean,fp_mean,fn_mean,tp_mean
sleep_only,advanced_full,XGBoost,config_1,260,0.669597507148679,0.04286660403192703,0.27844197709372515,0.07940664650540603,0.3838405601329903,0.16301550945106294,0.7390161463530531,0.07018082568797432,0.3210855909448481,0.11153528266524032,0.5858790001841112,0.05452093025439148,0.2903165787114764,0.10239109361257821,1844.8,671.2,400.2,297.2
sleep_only,advanced_full,XGBoost,config_2,260,0.6655531685978671,0.0566136865298392,0.2781656344345515,0.07687116338180032,0.38895137110189265,0.15816344765226498,0.7319614284379019,0.08392506406668393,0.3222918386940668,0.10801599244332658,0.5859897819472792,0.05645234423196354,0.28721375444123165,0.09586839898035425,1831.4,684.6,398.0,299.4
sleep_only,advanced_full,XGBoost,config_3,260,0.6355679267355574,0.06410663231006995,0.2779481541293649,0.04903292100500696,0.46180548076641825,0.13610449823984952,0.6747985868104597,0.0925845670986206,0.34579623326909686,0.0768428098292066,0.5880053135077757,0.05527992047291195,0.30377612011307864,0.0976990740111581,1682.4,833.6,351.0,346.4
sleep_only,advanced_full,XGBoost,config_4,260,0.6380552009677867,0.06447346608462934,0.28140785639182825,0.053031690629056806,0.4658558633999327,0.13328522570549906,0.6771006155357229,0.09221612556426906,0.34971752443955667,0.07871872156667196,0.5904375770057761,0.056045698512449754,0.3058874231636567,0.09471276912312873,1690.2,825.8,348.4,349.0
sleep_only,advanced_full,XGBoost,config_5,260,0.6813102837931522,0.04943767581684253,0.27538754538032034,0.08007752060045654,0.3360527273630541,0.14328864640148026,0.7672543771304802,0.07360825254053302,0.3004829374043866,0.10667686805732775,0.5701578048272526,0.03974290312506906,0.26570179555691176,0.072978382472565,1920.8,595.2,438.6,258.8
sleep_only,advanced_full,XGBoost,config_6,260,0.6557736364737267,0.06536102184709634,0.2833446791077641,0.07125731114813644,0.42193369989319657,0.1462404260881485,0.7112794306347505,0.09026411125455472,0.33732068109514934,0.0972289385382467,0.5926567925858727,0.05802632030690337,0.30158216455288656,0.1019868800866495,1780.4,735.6,376.8,320.6
sleep_only,advanced_late_fusion,XGBoost,config_1,260,0.7029385274253358,0.05871990045422392,0.3045137486491807,0.08560489445931806,0.35894177115081477,0.16676515944369788,0.7870645881942095,0.08561352585898044,0.3245672125717195,0.12693225782404058,0.5938573786992555,0.048834850321301936,0.29901761479395933,0.0877001461639072,1967.0,549.0,421.2,276.2
sleep_only,advanced_late_fusion,XGBoost,config_2,260,0.6956874726254276,0.05976767584306769,0.2957319592718405,0.08509243045692817,0.35969441328852136,0.16590558959463086,0.7775583665101425,0.08832568091327314,0.32011772655113846,0.12433565747238187,0.5915773607822457,0.04115121982982922,0.2959263579593346,0.08441394754940713,1942.4,573.6,421.2,276.2
sleep_only,advanced_late_fusion,XGBoost,config_3,260,0.6579420896593634,0.061644869962123316,0.28602007375071753,0.06794785347551707,0.4380332620729844,0.17012920696347358,0.7080101696858104,0.09922291826658339,0.34331437343516547,0.10314001362042724,0.591516476105882,0.06004283415321398,0.3073838731583356,0.10732804890777303,1765.4,750.6,364.0,333.4
sleep_only,advanced_late_fusion,XGBoost,config_4,260,0.6555483505105222,0.059251381999345445,0.28066626941128464,0.07176316032422944,0.432294775991255,0.17327624722533994,0.7065115281173634,0.09436670985259524,0.33796271692472213,0.1083261883070783,0.5895300382913413,0.06071761400112365,0.30516608513805343,0.10396256000035438,1763.8,752.2,367.6,329.8
sleep_only,advanced_late_fusion,XGBoost,config_5,260,0.7239839260887241,0.04516038555911534,0.3167344685713655,0.091671362422798,0.3019316167049461,0.13363730542832147,0.831784921208438,0.0576712439454153,0.30609425928625533,0.11733422617675039,0.5905114450761259,0.04412979517086007,0.29125452087669274,0.07942372496408356,2083.4,432.6,467.4,230.0
sleep_only,advanced_late_fusion,XGBoost,config_6,260,0.6750319048587802,0.06548088016004237,0.28483031357558397,0.08216642920195522,0.38878324796903446,0.1722437645977254,0.7429400833482259,0.09766134991389276,0.32512904101151185,0.11916718811781635,0.5902520520055914,0.04999984459834677,0.30298451982582525,0.09740718439178227,1854.4,661.6,398.8,298.6
sleep_only,advanced_respiratory,XGBoost,config_1,152,0.6748416854657716,0.05702800285208697,0.2979052307115291,0.05611652255007674,0.416282024700984,0.1561743068069471,0.7368179874622067,0.08717715203990212,0.3442809292997985,0.0925377615796032,0.6111468953777262,0.050235024957608974,0.3046409414615445,0.09658491410213534,1838.6,677.4,381.0,316.4
sleep_only,advanced_respiratory,XGBoost,config_2,152,0.6700992835945624,0.05835079705324461,0.2915551938689177,0.049508540412762696,0.4035917213817779,0.13798202367602114,0.7352162378942857,0.08562216875433389,0.3359134797885389,0.08073658219949659,0.6081418412638964,0.04764544947899591,0.3019924769962523,0.09037261586474053,1836.4,679.6,393.8,303.6
sleep_only,advanced_respiratory,XGBoost,config_3,152,0.6494526470908861,0.06500557991679452,0.28552903565034066,0.045051251165863185,0.4507579640049018,0.1559541740130338,0.6946701191594543,0.10176789325319792,0.3466829754257011,0.08065219616757925,0.6103605533972392,0.050038720925388205,0.30667815156383227,0.09840433709615204,1729.8,786.2,356.6,340.8
sleep_only,advanced_respiratory,XGBoost,config_4,152,0.6507015764999914,0.0685006847291379,0.2879303474249173,0.04126141350790983,0.4520587856898941,0.1558616739023126,0.6957596476773912,0.10565072787213602,0.34831290391162584,0.07840111738508879,0.607126074926485,0.053274374438076436,0.30271295279868465,0.09799680013539647,1733.0,783.0,356.2,341.2
sleep_only,advanced_respiratory,XGBoost,config_5,152,0.6974846160132938,0.048250045348791605,0.3030377982440541,0.062198452727884476,0.3552470801861471,0.15116145127542002,0.7836749381366499,0.07182343201760805,0.3233298088761995,0.09857678597671149,0.6049965398270185,0.0492710696482937,0.2950676824374674,0.09070782058531968,1959.6,556.4,427.0,270.4
sleep_only,advanced_respiratory,XGBoost,config_6,152,0.6590420435622536,0.06258185773980121,0.2825140640822229,0.061321825986012754,0.42167523808468504,0.17328289429151586,0.7143888143504198,0.09814501278533524,0.33495132175672976,0.10011509300290104,0.6055491629004932,0.05901763331277529,0.3017788384778675,0.10727335042867144,1781.6,734.4,374.8,322.6
sleep_only,advanced_respiratory_spo2,XGBoost,config_1,236,0.6870746344727172,0.07064242141562424,0.30336223913480376,0.07757996318671677,0.42682816146649316,0.21247310059371385,0.7456445426716088,0.11633525221489469,0.34463955961465464,0.1431463485251768,0.6138791081145369,0.06031458937044407,0.3176591480276539,0.10715419735421781,1863.6,652.4,366.4,331.0
sleep_only,advanced_respiratory_spo2,XGBoost,config_2,236,0.6876211628551644,0.07982070727774049,0.313454526604744,0.052440087289793456,0.42688411882338484,0.21362141618664487,0.7459267893265047,0.12750513234196126,0.3441008684669024,0.13934189937159885,0.6137172712430078,0.06172717735894529,0.3202368048801418,0.10992121037441192,1862.8,653.2,366.2,331.2
sleep_only,advanced_respiratory_spo2,XGBoost,config_3,236,0.6766315591201773,0.08507285119720832,0.32122730902549596,0.036238860944553086,0.4759112395622466,0.21445980121212102,0.7181670223887574,0.13800712770213713,0.3687236989452662,0.1122815631939541,0.6276333699242983,0.058949727382632384,0.33979145030453045,0.11900450212122925,1785.2,730.8,329.4,368.0
sleep_only,advanced_respiratory_spo2,XGBoost,config_4,236,0.6777366491754664,0.08747709729644425,0.33056958528522284,0.03961992600263846,0.4824742067222165,0.1972771926183003,0.7187397435086647,0.13591190589669283,0.37803476299955324,0.09618244877583451,0.6303732303643836,0.060704004513534394,0.34579359728238634,0.11368714470808798,1789.4,726.6,327.0,370.4
sleep_only,advanced_respiratory_spo2,XGBoost,config_5,236,0.7001536595924295,0.06877126464689756,0.3082922336182262,0.06850130778307419,0.3774001375843537,0.18470946851035783,0.7771027201121512,0.10498762168063425,0.3281641819526897,0.13539002299701366,0.6095141190581841,0.04544091930174052,0.2995698909717418,0.0844910091674812,1944.4,571.6,406.0,291.4
sleep_only,advanced_respiratory_spo2,XGBoost,config_6,236,0.682311240984985,0.08376306367637842,0.3156523322040849,0.05223601342359612,0.4444204692082385,0.21549334467939238,0.734327806470357,0.13085064417170447,0.3524789131809885,0.13293385213157785,0.6215859460088253,0.05997273666496991,0.33196607904708003,0.11501641897972995,1833.8,682.2,352.8,344.6
sleep_only,advanced_spo2,XGBoost,config_1,84,0.668716742351666,0.06478136154794387,0.2936552928065517,0.09116763832782727,0.461341182045245,0.21568831665199134,0.7145076079855763,0.10786685347562579,0.35244045904730603,0.14219452447750322,0.6054907481672386,0.10151609546948039,0.31331237888086366,0.11802798814016952,1797.8,718.2,347.8,349.6
sleep_only,advanced_spo2,XGBoost,config_2,84,0.6707147677728174,0.0687872727001007,0.29353618052059227,0.0898366379380399,0.4590607736507004,0.22058209570658205,0.717316075757978,0.11438452448976558,0.3502086527704584,0.14603509890386948,0.6100795826586035,0.08241566157229548,0.31246769512084743,0.11417708385085223,1804.0,712.0,349.4,348.0
sleep_only,advanced_spo2,XGBoost,config_3,84,0.6676391822902878,0.06038951861672888,0.2936242899208631,0.09796349389493593,0.47474246739699966,0.22496587597856935,0.7091127277721494,0.10243087986906786,0.3579934392382891,0.14812834622900792,0.6213549353238609,0.07823920270648177,0.3182333308742258,0.12268013944375004,1781.0,735.0,336.2,361.2
sleep_only,advanced_spo2,XGBoost,config_4,84,0.6671924658358451,0.060695426309391266,0.2955989344972781,0.09379114611547751,0.4785055452657289,0.22250613865282495,0.7076156604918302,0.10440829147355984,0.3600455515263357,0.14428527218567683,0.6209636537716381,0.07833551207292959,0.3200120917899585,0.12481560932482956,1778.8,737.2,333.8,363.6
sleep_only,advanced_spo2,XGBoost,config_5,84,0.6748111934791478,0.05789303592273366,0.2935405397407611,0.09357950136682433,0.43690799078541254,0.1974879853620804,0.7298457871047004,0.09555135721364505,0.34619028964538057,0.13739792245412494,0.6011728285004023,0.09180240399720443,0.3052273671572824,0.10900300962451712,1836.6,679.4,367.2,330.2
sleep_only,advanced_spo2,XGBoost,config_6,84,0.6705536015487277,0.06630960724965164,0.29248899536862727,0.10043996357425519,0.46683757079859883,0.23000287127067492,0.7148293176917557,0.11132978848589047,0.35306950449730573,0.1542644435480984,0.619253579034357,0.07961589276629714,0.32177449067088437,0.12603937779623514,1797.6,718.4,342.6,354.8
