regime,window_set,feature_set,model,config_name,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,max_youden,0.45,0.5240556224679733,0.303751617076326,0.5576314122862571,0.5112160566706021,0.3932778739322204,16887,16146,5588,7044,0.06884746895685923,
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,sensitivity_ge_0.70_max_specificity,0.35,0.3895543632979306,0.2831578947368421,0.7879195693476884,0.23721732812641905,0.4166003934536018,7836,25197,2679,9953,0.0251368974741073,
exclude_ucddb005_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,max_f1,0.05,0.27690791634731193,0.27659434582511505,0.9991291956934769,0.0007265461810916356,0.4332498026157701,24,33009,11,12621,-0.00014425812543150673,
exclude_ucddb005_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,max_youden,0.3,0.5143545384868061,0.2905236360444191,0.5239867004433185,0.5106711470347834,0.37379641394889174,16869,16164,6013,6619,0.03465784747810208,
exclude_ucddb005_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,sensitivity_ge_0.70_max_specificity,0.25,0.4298916018832804,0.28641550328297316,0.7113679544015199,0.3222535040716859,0.4083988547016316,10645,22388,3646,8986,0.033621458473205745,
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,max_f1,0.2,0.2907259389028797,0.2785635829728094,0.9837713742875237,0.025701571156116612,0.43418409237810734,849,32184,205,12427,0.009472945443640413,
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,max_youden,0.55,0.6384101609547794,0.32727920227920226,0.2910069664344522,0.7712590439863167,0.3080791149849145,25477,7556,8956,3676,0.06226601042076885,
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,sensitivity_ge_0.70_max_specificity,0.4,0.42124165115515166,0.2835493081484735,0.7154053198226725,0.30875185420639967,0.40612992382536006,10199,22834,3595,9037,0.024157174029072248,
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,max_f1,0.15,0.28750684331544946,0.2781641478311266,0.9878879037365421,0.01967729240456513,0.4340974710404564,650,32383,153,12479,0.007565196141107178,
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,max_youden,0.5,0.5941311726705354,0.32003902914989635,0.415452818239392,0.6624587533678443,0.3615570099896659,21883,11150,7384,5248,0.07791157160723627,
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,sensitivity_ge_0.70_max_specificity,0.35,0.4059564217672178,0.28563400278032475,0.76448701709943,0.26885235976145067,0.4158825176029801,8881,24152,2975,9657,0.03333937686088073,
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,max_f1,0.05,0.27668893025292896,0.2766414086110989,1.0,9.081827263645445e-05,0.43338937111881154,3,33030,0,12632,9.081827263646147e-05,
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,max_youden,0.3,0.5283915471367568,0.30359978824775014,0.5448068397720076,0.5221142493869767,0.38991501416430596,17247,15786,5750,6882,0.06692108915898443,
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,sensitivity_ge_0.70_max_specificity,0.25,0.4294536296945144,0.29263997033741196,0.7497625079164028,0.3069657615112161,0.4209707529558183,10140,22893,3161,9471,0.05672826942761877,
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,max_f1,0.5,0.6549528021366089,0.2153558645592474,0.48780312813890087,0.6846139155897893,0.29879803994814214,53773,24772,7139,6799,0.17241704372869027,
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,max_youden,0.5,0.6549528021366089,0.2153558645592474,0.48780312813890087,0.6846139155897893,0.29879803994814214,53773,24772,7139,6799,0.17241704372869027,
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,sensitivity_ge_0.70_max_specificity,0.4,0.44207043456635275,0.17667965865970708,0.7382694791218253,0.3895091985486027,0.2851244821901107,30594,47951,3648,10290,0.12777867767042794,
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,max_f1,0.45,0.578052182563282,0.19644715506183597,0.5823647582149519,0.5772869055955185,0.2937908319307961,45343,33202,5821,8117,0.15965166381047036,
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,max_youden,0.5,0.6605538315149811,0.21314708299096138,0.4652747883484001,0.6952065694824623,0.2923607510763474,54605,23940,7453,6485,0.16048135783086237,
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,sensitivity_ge_0.70_max_specificity,0.35,0.37035995804634364,0.16955879500455082,0.8153250107619457,0.2913998344897829,0.2807346928692301,22888,55657,2574,11364,0.10672484525172865,
exclude_ucddb005_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,max_f1,0.15,0.398062346593428,0.17031395661173349,0.7733534222987516,0.3314660385766121,0.2791510741062064,26035,52510,3159,10779,0.10481946087536365,
exclude_ucddb005_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,max_youden,0.2,0.5404668966188381,0.1801321536566245,0.5769837853350552,0.5339868864981857,0.27455063755697046,41942,36603,5896,8042,0.11097067183324105,
exclude_ucddb005_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,sensitivity_ge_0.70_max_specificity,0.15,0.398062346593428,0.17031395661173349,0.7733534222987516,0.3314660385766121,0.2791510741062064,26035,52510,3159,10779,0.10481946087536365,
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,max_f1,0.45,0.5339035282159964,0.1859603789836348,0.6196010905438369,0.5186962887516711,0.2860644605651065,40741,37804,5302,8636,0.138297379295508,
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,max_youden,0.55,0.7035022652811869,0.22074479101942754,0.38233605969292583,0.7604939843401871,0.27989180388140444,59733,18812,8609,5329,0.14283004403311295,
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,sensitivity_ge_0.70_max_specificity,0.4,0.42887882097250307,0.17226090328236424,0.7331037451571244,0.3748933732255395,0.2789707187222715,29446,49099,3720,10218,0.10799711838266379,
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,max_f1,0.45,0.5630656444968264,0.18980993226932902,0.5810733247237767,0.5598701381373735,0.28614835621036266,43975,34570,5839,8099,0.14094346286115034,
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,max_youden,0.45,0.5630656444968264,0.18980993226932902,0.5810733247237767,0.5598701381373735,0.28614835621036266,43975,34570,5839,8099,0.14094346286115034,
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,sensitivity_ge_0.70_max_specificity,0.35,0.3719386265583945,0.16793284491447655,0.8009040034438226,0.2958176841301165,0.277648580418102,23235,55310,2775,11163,0.09672168757393917,
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,max_f1,0.15,0.3807510569510072,0.16754641706306583,0.7833979050078921,0.30930040104398754,0.2760529908479547,24294,54251,3019,10919,0.09269830605187956,
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,max_youden,0.2,0.5391369224614253,0.17923599928430847,0.5749748887932271,0.5327773887580368,0.2732821824381927,41847,36698,5924,8014,0.10775227755126382,
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,sensitivity_ge_0.70_max_specificity,0.15,0.3807510569510072,0.16754641706306583,0.7833979050078921,0.30930040104398754,0.2760529908479547,24294,54251,3019,10919,0.09269830605187956,
