experiment,model,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
full_minus_flow,XGBoost,3,43,16578,4215,20,5,0.5762752075919336,0.20372460496613995,0.4904891304347826,0.5944236849669445,0.2878787878787879,0.5549242660934552,0.2244813758749467,2068,1411,375,361
full_minus_flow,XGBoost,4,43,16428,4365,20,5,0.5764032073310423,0.2623318385650224,0.4675324675324675,0.6087990487514863,0.33608617594254936,0.5393658066071859,0.32219382922298384,2048,1316,533,468
full_minus_flow,XGBoost,5,43,16806,3987,20,5,0.6930022573363431,0.3902439024390244,0.5925925925925926,0.7230368198110133,0.47058823529411764,0.7117717692775674,0.384645029221257,2219,850,374,544
full_minus_effort,XGBoost,1,31,16676,4117,20,5,0.7619625941219335,0.3554868624420402,0.2900378310214376,0.8745487364620939,0.3194444444444444,0.6359612084075006,0.30047374041757774,2907,417,563,230
full_minus_effort,XGBoost,2,31,16684,4109,20,5,0.656607447067413,0.22537431048069345,0.4005602240896359,0.7104565537555229,0.2884518406454866,0.597563561507077,0.24587287794492965,2412,983,428,286
full_minus_effort,XGBoost,3,31,16578,4215,20,5,0.6223013048635825,0.20563961485557083,0.40625,0.6680080482897385,0.2730593607305936,0.5497868812252397,0.2266666389424362,2324,1155,437,299
full_minus_effort,XGBoost,4,31,16428,4365,20,5,0.5940435280641466,0.2452081956378057,0.3706293706293706,0.6605231866825209,0.2951471758154336,0.49141895559850374,0.24800764492928554,2222,1142,630,371
full_minus_effort,XGBoost,5,31,16806,3987,20,5,0.6453473789816905,0.3561484918793503,0.6688453159041394,0.6383186705767351,0.4647993943981832,0.7137147353782395,0.4064103047213094,1959,1110,304,614
full_minus_spo2,XGBoost,1,44,16676,4117,20,5,0.7804226378430896,0.34710743801652894,0.15889029003783103,0.9287003610108303,0.2179930795847751,0.6250538708889304,0.28592495005566165,3087,237,667,126
full_minus_spo2,XGBoost,2,44,16684,4109,20,5,0.7327816987101484,0.21343283582089553,0.20028011204481794,0.8447717231222386,0.20664739884393063,0.5741156256316959,0.20399851563911453,2868,527,571,143
full_minus_spo2,XGBoost,3,44,16578,4215,20,5,0.4856465005931198,0.20437654830718416,0.6725543478260869,0.44610520264443804,0.3134895503483217,0.5917025835135034,0.22714910808156893,1552,1927,241,495
full_minus_spo2,XGBoost,4,44,16428,4365,20,5,0.6815578465063001,0.2751445086705202,0.23776223776223776,0.8136147443519619,0.25509110396570206,0.5464286011253907,0.2526880436300466,2737,627,763,238
full_minus_spo2,XGBoost,5,44,16806,3987,20,5,0.5793829947328819,0.2667486170866626,0.47276688453159044,0.6112740306288693,0.34106090373280945,0.5813495486171008,0.24963460036000562,1876,1193,484,434
full_core_fusion,LogisticRegression,1,53,16676,4117,20,5,0.5950935146951664,0.21586475942782835,0.41866330390920553,0.6371841155234657,0.28485628485628484,0.5406351529553873,0.21150172989031155,2118,1206,461,332
full_core_fusion,LogisticRegression,2,53,16684,4109,20,5,0.7593088342662448,0.2944693572496263,0.2759103641456583,0.8609720176730487,0.2848879248011569,0.6278041113352558,0.2544210553553208,2923,472,517,197
full_core_fusion,LogisticRegression,3,53,16578,4215,20,5,0.5195729537366548,0.19784341303328645,0.5733695652173914,0.5081920091980454,0.29417915650052284,0.5761101937713237,0.2234430155379701,1768,1711,314,422
