regime,experiment,model,config_name,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
sleep_only,advanced_full,XGBoost,config_2,sensitivity_ge_0.70_max_specificity,0.35,0.47158772639571794,0.24765459497629375,0.7040435904789217,0.40715421303656596,0.3664179104477612,5122,7458,1032,2455,0.11119780351548769,
sleep_only,advanced_full,XGBoost,config_3,max_f1,0.45,0.5539304163814028,0.26649746192893403,0.6022368798394035,0.5405405405405406,0.3694906307732911,6800,5780,1387,2100,0.14277742037994412,
sleep_only,advanced_full,XGBoost,config_3,max_youden,0.55,0.7061056824547208,0.3403154900439617,0.37740177803269287,0.7972178060413354,0.357900462333424,10029,2551,2171,1316,0.17461958407402833,
sleep_only,advanced_full,XGBoost,config_3,sensitivity_ge_0.70_max_specificity,0.35,0.40163067156283067,0.23496842287395103,0.7788930312589618,0.29705882352941176,0.36102618636182376,3737,8843,771,2716,0.07595185478837352,
sleep_only,advanced_full,XGBoost,config_4,max_f1,0.45,0.5552996825791996,0.2693568726355612,0.6125609406366505,0.5394276629570747,0.37417885609179297,6786,5794,1351,2136,0.151988603593725,
sleep_only,advanced_full,XGBoost,config_4,max_youden,0.55,0.7035538681770088,0.34057971014492755,0.39088041296243187,0.7902225755166932,0.3640005341167045,9941,2639,2124,1363,0.1811029884791251,
sleep_only,advanced_full,XGBoost,config_4,sensitivity_ge_0.70_max_specificity,0.4,0.47370386506504014,0.24804786532806003,0.70146257527961,0.4105723370429253,0.3664968534611927,5165,7415,1041,2446,0.11203491232253526,
sleep_only,advanced_full,XGBoost,config_5,max_f1,0.25,0.3965270430074065,0.23634819532908705,0.7981072555205048,0.28521462639109696,0.36469663215830167,3588,8992,704,2783,0.08332188191160173,
sleep_only,advanced_full,XGBoost,config_5,max_youden,0.5,0.6782846828903965,0.30304449648711945,0.3710926297677086,0.7634340222575516,0.33363413690859867,9604,2976,2193,1294,0.13452665202526015,
sleep_only,advanced_full,XGBoost,config_5,sensitivity_ge_0.70_max_specificity,0.3,0.4488081160141906,0.240602956807421,0.7140808718095785,0.3752782193958665,0.3599306157849089,4721,7859,997,2490,0.08935909120544494,
sleep_only,advanced_full,XGBoost,config_6,max_f1,0.45,0.585112342067592,0.27877522616562284,0.5744192715801548,0.5880763116057234,0.37537481259370314,7398,5182,1484,2003,0.1624955831858781,
sleep_only,advanced_full,XGBoost,config_6,max_youden,0.5,0.6538246094479367,0.3035409960234804,0.459707484944078,0.707631160572337,0.3656478102189781,8902,3678,1884,1603,0.16733864551641497,
sleep_only,advanced_full,XGBoost,config_6,sensitivity_ge_0.70_max_specificity,0.35,0.42876703802825666,0.24091778202676864,0.7588184685976485,0.33728139904610493,0.36572218382861094,4243,8337,841,2646,0.09609986764375344,
sleep_only,advanced_late_fusion,XGBoost,config_1,max_f1,0.45,0.5982448496919152,0.286105505909484,0.5692572411815314,0.6062798092209857,0.3808153477218225,7627,4953,1502,1985,0.1755370504025171,
