regime,feature_variant,experiment,model,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
sleep_only,base,spo2_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.4362980021161387,0.23496383707651314,0.7080585030111844,0.3609697933227345,0.35284030010718115,4541,8039,1018,2469,0.06902829633391905,
sleep_only,base,spo2_only,XGBoost,max_youden,0.55,0.6805875396776,0.3046782236998338,0.36793805563521653,0.7672496025437202,0.3333333333333333,9652,2928,2204,1283,0.13518765817893685,
sleep_only,enhanced,effort_only,XGBoost,max_f1,0.4,0.48696085143461754,0.249314779675311,0.6782334384858044,0.4339427662957075,0.36460340707623523,5459,7121,1122,2365,0.11217620478151202,
sleep_only,enhanced,effort_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.41320719487147567,0.2370075254537406,0.7677086320619444,0.3149443561208267,0.362197266946286,3962,8618,810,2677,0.08265298818277111,
sleep_only,enhanced,effort_only,XGBoost,max_youden,0.5,0.6181614489325947,0.27702930279555404,0.4717522225408661,0.6587440381558028,0.34907161803713527,8287,4293,1842,1645,0.13049626069666886,
sleep_only,enhanced,flow_only,XGBoost,max_f1,0.4,0.5049480301238564,0.2613527086227161,0.70146257527961,0.45047694753577106,0.38081893196325706,5667,6913,1041,2446,0.15193952281538103,
sleep_only,enhanced,flow_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.5049480301238564,0.2613527086227161,0.70146257527961,0.45047694753577106,0.38081893196325706,5667,6913,1041,2446,0.15193952281538103,
sleep_only,enhanced,flow_only,XGBoost,max_youden,0.5,0.6687620588784465,0.32027424094025464,0.46888442787496415,0.7241653418124007,0.38058659217877094,9110,3470,1852,1635,0.19304976968736476,
sleep_only,enhanced,full_core_fusion,XGBoost,max_f1,0.45,0.6317918715379349,0.30471136838720053,0.5434470891884141,0.6562798092209857,0.3904801153925407,8256,4324,1592,1895,0.19972689840939983,
sleep_only,enhanced,full_core_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.49611003921080477,0.2607205897622261,0.7201032406079725,0.43402225755166934,0.3828327488946486,5460,7120,976,2511,0.15412549815964183,
