experiment,model,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp
flow_only,XGBoost,0.8,0.793921031116241,0.3072100313479624,0.023546371936568958,0.9867115627442727,0.04374023655434055,16410,221,4064,98
flow_only,XGBoost,0.85,0.7975280142355601,0.19230769230769232,0.0036040365209034117,0.9962118934519872,0.007075471698113208,16568,63,4147,15
flow_only,XGBoost,0.9,0.7993555523493483,0.2222222222222222,0.0009610764055742432,0.9991581985448861,0.0019138755980861245,16617,14,4158,4
flow_only,XGBoost,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_core_fusion,LogisticRegression,0.05,0.22137257730967153,0.2033931741960939,0.9908697741470447,0.028801635499969936,0.3375071609788035,479,16152,38,4124
full_core_fusion,LogisticRegression,0.1,0.23358822680709854,0.20405188015282524,0.9752522825564632,0.0479826829414948,0.3374906460463956,798,15833,103,4059
full_core_fusion,LogisticRegression,0.15,0.2402731688549031,0.20302210424217673,0.9555502162421913,0.061271120197222056,0.3348911624773694,1019,15612,185,3977
full_core_fusion,LogisticRegression,0.2,0.25272928389361804,0.20322445998121674,0.9358481499279193,0.08177499849678312,0.33393347050754457,1360,15271,267,3895
full_core_fusion,LogisticRegression,0.25,0.28067137979127593,0.20526402009501446,0.903171552138395,0.1248872587336901,0.33450500556173524,2077,14554,403,3759
full_core_fusion,LogisticRegression,0.3,0.32967825710575677,0.21219971738106452,0.865929841422393,0.1954783236125308,0.3408682493142911,3251,13380,558,3604
full_core_fusion,LogisticRegression,0.35,0.39316116000577117,0.2201853077432164,0.7993753003363767,0.2915038181708857,0.34526774595267745,4848,11783,835,3327
full_core_fusion,LogisticRegression,0.4,0.4687635261866974,0.2307993117472235,0.7090341182123979,0.40863447778245443,0.3482416804342695,6796,9835,1211,2951
full_core_fusion,LogisticRegression,0.45,0.5382099745106527,0.24110032362459546,0.6086016338298895,0.5205940713126089,0.3453776929370057,8658,7973,1629,2533
full_core_fusion,LogisticRegression,0.5,0.6067426537777136,0.2567551193505392,0.5091302258529553,0.631170705309362,0.3413612565445026,10497,6134,2043,2119
full_core_fusion,LogisticRegression,0.55,0.673832539797047,0.28268082282680823,0.4094185487746276,0.7400036077205219,0.33444553483807654,12307,4324,2458,1704
full_core_fusion,LogisticRegression,0.6,0.7292838936180446,0.3198231392778187,0.31283037001441616,0.833503697913535,0.316288108830317,13862,2769,2860,1302
full_core_fusion,LogisticRegression,0.65,0.7667965180589621,0.36587270597422883,0.22513214800576645,0.9023510312067825,0.2787446080618771,15007,1624,3225,937
