regime,experiment,model,config_name,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
sleep_only,advanced_spo2,XGBoost,config_3,4,84,12820,3247,20,5,0.6091777024946105,0.29214402618657936,0.469119579500657,0.6520514883346742,0.3600605143721634,0.5962406559519116,0.2824745871716974,1621,865,404,357
sleep_only,advanced_spo2,XGBoost,config_3,5,84,12023,4044,19,6,0.6649357072205737,0.3797626483447845,0.6268041237113402,0.6769681197137281,0.47296771684169586,0.7035473777408126,0.4929194758199118,2081,993,362,608
sleep_only,advanced_respiratory,XGBoost,config_3,1,152,12594,3473,20,5,0.6225165562913907,0.30349877949552484,0.4504830917874396,0.6763705103969754,0.36266407389402044,0.5994244449923747,0.2962420045011875,1789,856,455,373
sleep_only,advanced_respiratory,XGBoost,config_3,2,152,13213,2854,20,5,0.751927119831815,0.23434343434343435,0.2606741573033708,0.842673308426733,0.24680851063829787,0.5906362377041152,0.21795487527958926,2030,379,329,116
sleep_only,advanced_respiratory,XGBoost,config_3,3,152,13618,2449,21,4,0.6680277664352797,0.25299401197604793,0.3498964803312629,0.7461851475076297,0.29365768896611644,0.5807832531924708,0.2649307989804473,1467,499,314,169
sleep_only,advanced_respiratory,XGBoost,config_3,4,152,12820,3247,20,5,0.581151832460733,0.287135749822317,0.5308804204993429,0.5965406275140789,0.3726937269372694,0.5820938913632505,0.2794516538872571,1483,1003,357,404
sleep_only,advanced_respiratory,XGBoost,config_3,5,152,12023,4044,19,6,0.6236399604352126,0.34967320261437906,0.6618556701030928,0.6115810019518543,0.45759087669280113,0.6988649397339843,0.4748114251706803,1880,1194,328,642
sleep_only,advanced_respiratory_spo2,XGBoost,config_3,1,236,12594,3473,20,5,0.6294270083501295,0.33939818054583626,0.5857487922705314,0.6431001890359168,0.42977403633141337,0.6573678346711962,0.4174144857571105,1701,944,343,485
sleep_only,advanced_respiratory_spo2,XGBoost,config_3,2,236,13213,2854,20,5,0.810791871058164,0.28699551569506726,0.14382022471910114,0.933997509339975,0.19161676646706588,0.5786624129551634,0.20717885142925027,2250,159,381,64
sleep_only,advanced_respiratory_spo2,XGBoost,config_3,3,236,13618,2449,21,4,0.7023274806043283,0.3047619047619048,0.39751552795031053,0.7772126144455748,0.3450134770889488,0.5919534782819315,0.2884227368472372,1528,438,291,192
sleep_only,advanced_respiratory_spo2,XGBoost,config_3,4,236,12820,3247,20,5,0.5910070834616569,0.29907866761162294,0.5545335085413929,0.6021721641190668,0.3885819521178637,0.59249352220001,0.2817454503214621,1497,989,339,422
