regime,feature_variant,experiment,model,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.2,0.28026389493993903,0.22439090971132192,0.9429308861485518,0.0965818759936407,0.36251378169790516,1215,11365,199,3288,0.03951276214219246
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.25,0.3226489076990104,0.22991527899503358,0.9027817608259249,0.16184419713831477,0.36649397520228183,2036,10544,339,3148,0.06462595796423964
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.3,0.38009584863384577,0.2356880359330339,0.8276455405792945,0.25604133545310015,0.36689549961861173,3221,9359,601,2886,0.08368687603239477
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.35,0.45260471774444516,0.24632001529344294,0.7390306854029252,0.3732114467408585,0.3694888522474729,4695,7885,910,2577,0.11224213214378365
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.4,0.5269185286612311,0.25794304542245233,0.6286205907657012,0.4987281399046105,0.36579057154776806,6274,6306,1295,2192,0.12734873067031183
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.45,0.5950706416879318,0.2738576779026217,0.5242328649268713,0.6147058823529412,0.35977169848455026,7733,4847,1659,1828,0.13893874727981248
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.5,0.6548204394099707,0.2953687139733651,0.4261542873530255,0.7182034976152624,0.34890819441183374,9035,3545,2001,1486,0.144357784968288
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.55,0.7018734051160764,0.3205728449462958,0.3338112991109837,0.8038950715421304,0.32705816240517,10113,2467,2323,1164,0.13770637065311409
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.6,0.7375365656314185,0.35376602564102566,0.25322626899913964,0.8717806041335453,0.2951696473341133,10967,1613,2604,883,0.125006873132685
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.65,0.7577643617352338,0.37629810629199756,0.17665615141955837,0.9188394276629571,0.24043715846994534,11559,1021,2871,616,0.09549557908251538
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.7,0.7707723906143026,0.3993839835728953,0.11155721250358475,0.9534976152623211,0.17440035866397668,11995,585,3098,389,0.06505482776590599
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.75,0.7763116947781167,0.40325497287522605,0.06395182104961285,0.9737678855325914,0.1103960396039604,12250,330,3264,223,0.03771970658220436
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.8,0.7784278334474388,0.3701067615658363,0.029825064525379984,0.9859300476947536,0.055201698513800426,12403,177,3383,104,0.015755112220133594
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.85,0.7806062114893881,0.32727272727272727,0.010324060797246917,0.9941176470588236,0.020016680567139282,12506,74,3451,36,0.004441707856070565
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.9,0.782535632040829,0.3157894736842105,0.0017206767995411529,0.9989666136724961,0.0034227039361095267,12567,13,3481,6,0.0006872904720371942
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.95,0.7829713076492189,0.0,0.0,1.0,0.0,12580,0,3487,0,0.0
sleep_only,base,spo2_only,XGBoost,0.05,0.2170286923507811,0.2170286923507811,1.0,0.0,0.3566533701544441,0,12580,0,3487,0.0
sleep_only,base,spo2_only,XGBoost,0.1,0.21709093172340824,0.2170069721115538,0.9997132205334098,0.0001589825119236884,0.35660580021482274,2,12578,1,3486,-0.00012779695466647034
sleep_only,base,spo2_only,XGBoost,0.15,0.2182734798033236,0.2170876208294356,0.9982793232004589,0.002066772655007949,0.35662329679336136,26,12554,6,3481,0.00034609585546685473
sleep_only,base,spo2_only,XGBoost,0.2,0.22287919337773074,0.2174213401997111,0.9928305133352452,0.00945945945945946,0.35672333848531684,119,12461,25,3462,0.0022899727947045534
sleep_only,base,spo2_only,XGBoost,0.25,0.23725648845459638,0.21825192802056556,0.9739030685402925,0.033068362480127185,0.35659158922664985,416,12164,91,3396,0.006971431020419638
sleep_only,base,spo2_only,XGBoost,0.3,0.2825667517271426,0.22125918735265568,0.9151132778893031,0.10723370429252782,0.3563571388687252,1349,11231,296,3191,0.022346982181830954
sleep_only,base,spo2_only,XGBoost,0.35,0.3575651957428269,0.22814414127754357,0.8224835101806711,0.22869634340222575,0.35720513139867976,2877,9703,619,2868,0.051179853582896895
sleep_only,base,spo2_only,XGBoost,0.4,0.4362980021161387,0.23496383707651314,0.7080585030111844,0.3609697933227345,0.35284030010718115,4541,8039,1018,2469,0.06902829633391905
sleep_only,base,spo2_only,XGBoost,0.45,0.5313375241177569,0.2516279641233567,0.5873243475767135,0.515818759936407,0.3523137794598314,6489,6091,1439,2048,0.10314310751312039
sleep_only,base,spo2_only,XGBoost,0.5,0.61480052281073,0.27713625866050806,0.4817895038715228,0.6516693163751988,0.3518693056864593,8198,4382,1807,1680,0.1334588202467215
sleep_only,base,spo2_only,XGBoost,0.55,0.6805875396776,0.3046782236998338,0.36793805563521653,0.7672496025437202,0.3333333333333333,9652,2928,2204,1283,0.13518765817893685
